variant,seed,n_sources,n_cleared,clear_ratio,certified,virtual_time_s,avg_locate_clear_time_s,n_actions,error,wall_s
A5-no-probe,26,16,16,1.0,1,5396.88073584016,337.30504599001,224,,0.04700000000048021
A5-no-probe,27,10,10,1.0,1,4187.030488884093,418.7030488884093,170,,0.031000000000858563
A5-no-probe,28,14,14,1.0,1,5094.349452435551,363.8821037453965,176,,0.046999999998661224
A5-no-probe,29,16,16,1.0,1,4994.812549516012,312.17578434475075,177,,0.031000000000858563
A5-no-probe,30,10,10,1.0,1,3801.422071105155,380.14220711051547,157,,0.0319999999992433
A6-no-sweep,1,13,13,1.0,1,4677.6224661082115,359.8171127775547,163,,0.04700000000048021
A6-no-sweep,2,15,15,1.0,1,4632.703373459522,308.8468915639681,166,,0.031000000000858563
A6-no-sweep,3,15,15,1.0,1,4697.211994439334,313.1474662959556,173,,0.030999999999039574
A6-no-sweep,4,15,15,1.0,1,4484.14726911141,298.943151274094,170,,0.031000000000858563
A6-no-sweep,5,14,14,1.0,1,4830.501371975044,345.0358122839317,172,,0.06300000000010186
A6-no-sweep,6,13,13,1.0,1,4348.221820864435,334.47860160495657,175,,0.046999999998661224
A6-no-sweep,7,16,16,1.0,1,5264.415501840157,329.0259688650098,179,,0.06199999999989814
A6-no-sweep,8,15,15,1.0,1,4378.624446495175,291.9082964330117,171,,0.031000000000858563
A6-no-sweep,9,12,12,1.0,1,4399.3629619871745,366.61358016559785,165,,0.0319999999992433
A6-no-sweep,10,15,15,1.0,1,4832.029098926053,322.13527326173687,178,,0.04700000000048021
A6-no-sweep,11,10,10,1.0,1,3845.4044466055116,384.54044466055115,159,,0.031000000000858563
A6-no-sweep,12,14,14,1.0,1,4914.088047342083,351.00628909586305,176,,0.046999999998661224
A6-no-sweep,13,16,16,1.0,1,5480.724724384148,342.5452952740093,187,,0.04700000000048021
A6-no-sweep,14,11,11,1.0,1,4371.680419243319,397.42549265848356,162,,0.046000000000276486
A6-no-sweep,15,16,16,1.0,1,5049.636744529708,315.60229653310677,174,,0.0319999999992433
A6-no-sweep,16,13,13,1.0,1,4713.83456910235,362.6026591617192,181,,0.0319999999992433
A6-no-sweep,17,15,15,1.0,1,4435.0541073732575,295.67027382488385,175,,0.046000000000276486
A6-no-sweep,18,16,16,1.0,1,4979.564349016981,311.22277181356134,173,,0.04700000000048021
A6-no-sweep,19,14,14,1.0,1,4412.099232935891,315.1499452097065,174,,0.0319999999992433
A6-no-sweep,20,16,16,1.0,1,4467.694983223691,279.2309364514807,167,,0.031000000000858563
A6-no-sweep,21,12,12,1.0,1,4317.157603939641,359.7631336616368,171,,0.04700000000048021
A6-no-sweep,22,15,15,1.0,1,5089.332334686446,339.2888223124298,174,,0.046999999998661224
A6-no-sweep,23,10,10,1.0,1,4104.031488981056,410.4031488981056,162,,0.031000000000858563
A6-no-sweep,24,12,12,1.0,1,4833.816555104832,402.81804625873605,164,,0.0319999999992433
A6-no-sweep,25,13,13,1.0,1,4392.250516996227,337.86542438432514,170,,0.031000000000858563
A6-no-sweep,26,16,16,1.0,1,5080.534600805711,317.53341255035696,183,,0.04700000000048021
A6-no-sweep,27,10,10,1.0,1,4187.030488884093,418.7030488884093,170,,0.046999999998661224
A6-no-sweep,28,14,14,1.0,1,5096.291646848714,364.0208319177653,176,,0.04700000000048021
A6-no-sweep,29,16,16,1.0,1,4998.990609267797,312.4369130792373,177,,0.06199999999989814
A6-no-sweep,30,10,10,1.0,1,3801.422071105155,380.14220711051547,157,,0.031000000000858563
