seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
11,10,10,1.0,3788.0442872347703,378.80442872347703,0.09400000000005093,0.09400000000005093,146,10,0,143,156,158,7,user_exit,,4 5 6 8 11 13 14 16 17 19,158,0.09400000000005093
12,14,14,1.0,4733.03452393669,338.0738945669064,0.09400000000005093,0.09400000000005093,155,14,0,148,169,171,7,user_exit,,5 7 10 11 15 17,171,0.09400000000005093
13,16,16,1.0,5333.511308145403,333.3444567590877,0.125,0.125,167,16,0,150,183,185,7,user_exit,,4 9 13 20,185,0.125
14,11,11,1.0,4253.726075115136,386.7023704650124,0.06199999999989814,0.06199999999989814,145,11,0,143,156,158,7,user_exit,,1 3 7 13 15 16 18 19 20,158,0.06199999999989814
15,16,16,1.0,5142.825806869734,321.4266129293584,0.1089999999999236,0.1089999999999236,160,16,0,149,176,178,7,user_exit,,10 11 17 19,178,0.1089999999999236
16,13,13,1.0,4569.534426789866,351.5026482146051,0.11000000000012733,0.11000000000012733,162,13,0,149,175,177,7,user_exit,,3 4 11 12 13 15 19,177,0.11000000000012733
17,15,15,1.0,4489.659562840224,299.3106375226816,0.125,0.125,161,15,0,145,176,178,7,user_exit,,3 11 14 15 18,178,0.125
18,16,16,1.0,4788.0099577871515,299.25062236169697,0.09400000000005093,0.09400000000005093,151,16,0,146,167,169,7,user_exit,,5 15 17 18,169,0.09400000000005093
19,14,14,1.0,4197.174549628325,299.7981821163089,0.0929999999998472,0.0929999999998472,155,14,0,147,169,171,7,user_exit,,2 6 10 14 17 19,171,0.0929999999998472
20,16,16,1.0,4354.0273169894135,272.12670731183835,0.09400000000005093,0.09400000000005093,147,16,0,144,163,165,7,user_exit,,7 10 14 16,165,0.09400000000005093
21,12,12,1.0,4479.538465910341,373.2948721591951,0.09400000000005093,0.09400000000005093,158,12,0,147,170,172,7,user_exit,,1 3 9 13 14 15 17 18,172,0.09400000000005093
22,15,15,1.0,4819.466070109498,321.29773800729987,0.09400000000005093,0.09400000000005093,154,15,0,149,169,171,7,user_exit,,4 10 12 14 20,171,0.09400000000005093
23,10,10,1.0,3982.7763208000815,398.2776320800082,0.11000000000012733,0.11000000000012733,147,10,0,146,157,159,7,user_exit,,1 5 7 11 12 15 16 18 19 20,159,0.11000000000012733
24,12,12,1.0,4660.397715960592,388.36647633004935,0.125,0.125,150,12,0,145,162,164,7,user_exit,,1 4 6 9 14 16 18 20,164,0.125
25,13,13,1.0,4338.63237627681,333.7409520212931,0.0929999999998472,0.0929999999998472,147,13,0,144,160,162,7,user_exit,,7 9 10 14 17 18 19,162,0.0929999999998472
26,16,16,1.0,4989.766508943423,311.86040680896394,0.1410000000000764,0.1410000000000764,160,16,0,148,176,178,7,user_exit,,5 6 14 15,178,0.1410000000000764
27,10,10,1.0,4315.049904632249,431.50499046322494,0.125,0.125,158,10,0,144,168,170,7,user_exit,,1 7 9 11 12 13 15 16 17 20,170,0.125
28,14,14,1.0,5066.193836892194,361.8709883494424,0.18699999999989814,0.18699999999989814,165,14,0,149,179,181,7,user_exit,,4 5 12 13 16 18,181,0.18699999999989814
29,16,16,1.0,4924.739899248876,307.79624370305476,0.09400000000005093,0.09400000000005093,155,16,0,148,171,173,7,user_exit,,6 9 11 19,173,0.09400000000005093
30,10,10,1.0,3803.8749978155242,380.38749978155244,0.09400000000005093,0.09400000000005093,145,10,0,143,155,157,7,user_exit,,1 7 8 9 12 13 16 18 19 20,157,0.09400000000005093
31,13,13,1.0,4421.940643755647,340.14928028889597,0.1089999999999236,0.1089999999999236,152,13,0,146,165,167,7,user_exit,,3 10 13 15 16 17 19,167,0.1089999999999236
32,16,16,1.0,5101.554116885048,318.8471323053155,0.17200000000002547,0.17200000000002547,166,16,0,149,182,184,7,user_exit,,2 7 10 20,184,0.17200000000002547
33,16,16,1.0,4662.145931235767,291.38412070223546,0.13999999999987267,0.13999999999987267,156,16,0,149,172,174,7,user_exit,,1 2 5 17,174,0.13999999999987267
34,10,10,1.0,3979.044889008268,397.9044889008268,0.07799999999997453,0.07799999999997453,149,10,0,145,159,161,7,user_exit,,3 5 7 8 9 11 13 15 19 20,161,0.07799999999997453
