seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
114,11,11,1.0,4230.3816002283365,384.5801454753033,0.04700000000048021,0.04700000000048021,162,11,0,148,173,175,7,user_exit,,3 4 5 6 9 14 16 18 20,175,0.06199999999989814
115,14,14,1.0,4629.91484948489,330.70820353463495,0.0319999999992433,0.0319999999992433,158,14,0,148,172,174,7,user_exit,,4 7 8 9 10 14,174,0.0319999999992433
116,11,11,1.0,4164.450890288725,378.58644457170226,0.015000000001236913,0.015000000001236913,154,11,0,147,165,167,7,user_exit,,1 4 7 8 9 15 17 18 20,167,0.015000000001236913
117,10,10,1.0,4470.457573076261,447.0457573076261,0.0319999999992433,0.0319999999992433,155,10,0,147,165,167,7,user_exit,,1 2 5 6 8 9 11 13 17 18,167,0.0319999999992433
118,12,12,1.0,4770.34583778496,397.5288198154133,0.06300000000010186,0.06300000000010186,163,12,0,149,175,177,7,user_exit,,3 5 8 13 14 17 18 19,177,0.06300000000010186
119,12,12,1.0,4276.104807441819,356.34206728681824,0.04700000000048021,0.04700000000048021,146,12,0,144,158,160,7,user_exit,,2 4 7 10 12 15 19 20,160,0.04700000000048021
120,12,12,1.0,4039.1262135574884,336.5938511297907,0.031000000000858563,0.031000000000858563,154,12,0,145,166,168,7,user_exit,,5 6 9 13 14 15 16 19,168,0.031000000000858563
121,11,11,1.0,4241.600303317458,385.6000275743144,0.0319999999992433,0.0319999999992433,148,11,0,144,159,161,7,user_exit,,2 3 6 9 13 14 18 19 20,161,0.0319999999992433
122,16,16,1.0,4753.5001608458,297.0937600528625,0.04700000000048021,0.04700000000048021,161,16,0,145,177,179,7,user_exit,,6 9 10 13,179,0.04700000000048021
123,10,10,1.0,3989.2723617685365,398.9272361768536,0.031000000000858563,0.031000000000858563,149,10,0,146,159,161,7,user_exit,,2 3 6 9 10 11 14 15 16 18,161,0.031000000000858563
124,16,16,1.0,5181.496081025403,323.8435050640877,0.06199999999989814,0.06199999999989814,169,16,0,151,185,187,7,user_exit,,3 16 19 20,187,0.06199999999989814
125,13,13,1.0,4859.027523139215,373.77134793378576,0.046999999998661224,0.046999999998661224,163,13,0,146,176,178,7,user_exit,,6 11 13 14 18 19 20,178,0.046999999998661224
126,12,12,1.0,5036.486615186819,419.7072179322349,0.04700000000048021,0.04700000000048021,162,12,0,146,174,176,7,user_exit,,4 5 6 7 8 17 19 20,176,0.04700000000048021
127,13,13,1.0,4719.527494291841,363.0405764839878,0.04700000000048021,0.04700000000048021,161,13,0,150,174,176,7,user_exit,,2 8 9 10 12 15 17,176,0.04700000000048021
128,14,14,1.0,5153.300516439981,368.0928940314272,0.04700000000048021,0.04700000000048021,154,14,0,146,168,170,7,user_exit,,3 8 12 14 19 20,170,0.04700000000048021
129,13,13,1.0,4929.955542737313,379.2273494413318,0.046999999998661224,0.046999999998661224,166,13,0,148,179,181,7,user_exit,,1 5 7 9 10 14 18,181,0.046999999998661224
130,15,15,1.0,4666.433675072938,311.0955783381959,0.04700000000048021,0.04700000000048021,156,15,0,145,171,173,7,user_exit,,2 6 9 10 13,173,0.04700000000048021
131,13,13,1.0,4695.569870873895,361.19768237491496,0.06300000000010186,0.06300000000010186,156,13,0,148,169,171,7,user_exit,,1 4 5 10 11 17 19,171,0.06300000000010186
132,15,15,1.0,5406.502986138737,360.4335324092491,0.04700000000048021,0.04700000000048021,164,15,0,152,179,181,7,user_exit,,3 4 5 6 16,181,0.04700000000048021
133,13,13,1.0,4435.574400509733,341.198030808441,0.06199999999989814,0.06199999999989814,152,13,0,146,165,167,7,user_exit,,2 4 12 13 14 16 20,167,0.06199999999989814
134,15,15,1.0,4750.438213746513,316.6958809164342,0.04700000000048021,0.04700000000048021,158,15,0,148,173,175,7,user_exit,,1 2 9 15 17,175,0.04700000000048021
135,13,13,1.0,4542.687922012632,349.43753246251015,0.04700000000048021,0.04700000000048021,163,13,0,149,176,178,7,user_exit,,1 2 6 7 9 12 17,178,0.04700000000048021
136,16,16,1.0,4949.370800780871,309.33567504880443,0.030999999999039574,0.030999999999039574,167,16,0,149,183,185,7,user_exit,,3 6 13 15,185,0.030999999999039574
137,13,13,1.0,4930.610994625596,379.2777688173535,0.04700000000048021,0.04700000000048021,161,13,0,147,174,176,7,user_exit,,1 2 4 14 16 19 20,176,0.04700000000048021
138,14,14,1.0,5055.99938138506,361.1428129560757,0.046000000000276486,0.046000000000276486,162,14,0,150,176,178,7,user_exit,,1 2 3 9 16 17,178,0.046000000000276486
139,13,13,1.0,5109.796663419143,393.06128180147255,0.06300000000010186,0.06300000000010186,174,13,0,148,187,189,7,user_exit,,3 5 8 9 10 12 19,189,0.06300000000010186
140,14,14,1.0,5053.381804266424,360.95584316188746,0.04700000000048021,0.04700000000048021,160,14,0,147,174,176,7,user_exit,,1 2 4 11 12 20,176,0.04700000000048021
