gamma_deg,r_m,diam_m,diam_over_r
65.0,200.0,13.0044,0.06502
65.0,250.0,16.2555,0.06502
65.0,300.0,19.5066,0.06502
65.0,350.0,22.7577,0.06502
65.0,400.0,26.0088,0.06502
65.0,450.0,29.2600,0.06502
65.0,500.0,32.5111,0.06502
65.0,550.0,35.7622,0.06502
65.0,600.0,39.0133,0.06502
65.0,650.0,42.2644,0.06502
65.0,700.0,45.5155,0.06502
65.0,750.0,48.7666,0.06502
65.0,800.0,52.0177,0.06502
65.0,850.0,55.2688,0.06502
65.0,900.0,58.5199,0.06502
65.0,950.0,61.7710,0.06502
65.0,1000.0,65.0221,0.06502
65.0,1050.0,68.2732,0.06502
65.0,1100.0,71.5243,0.06502
65.0,1150.0,74.7754,0.06502
65.0,1200.0,78.0265,0.06502
65.0,1250.0,81.2776,0.06502
65.0,1300.0,84.5287,0.06502
65.0,1350.0,87.7799,0.06502
65.0,1400.0,91.0310,0.06502
65.0,1450.0,94.2821,0.06502
65.0,1500.0,97.5332,0.06502
67.5,200.0,12.5759,0.06288
67.5,250.0,15.7199,0.06288
67.5,300.0,18.8638,0.06288
67.5,350.0,22.0078,0.06288
67.5,400.0,25.1518,0.06288
67.5,450.0,28.2958,0.06288
67.5,500.0,31.4397,0.06288
67.5,550.0,34.5837,0.06288
67.5,600.0,37.7277,0.06288
67.5,650.0,40.8717,0.06288
67.5,700.0,44.0156,0.06288
67.5,750.0,47.1596,0.06288
67.5,800.0,50.3036,0.06288
67.5,850.0,53.4476,0.06288
67.5,900.0,56.5915,0.06288
67.5,950.0,59.7355,0.06288
67.5,1000.0,62.8795,0.06288
67.5,1050.0,66.0235,0.06288
67.5,1100.0,69.1674,0.06288
67.5,1150.0,72.3114,0.06288
67.5,1200.0,75.4554,0.06288
67.5,1250.0,78.5994,0.06288
67.5,1300.0,81.7433,0.06288
67.5,1350.0,84.8873,0.06288
67.5,1400.0,88.0313,0.06288
67.5,1450.0,91.1753,0.06288
67.5,1500.0,94.3192,0.06288
70.0,200.0,12.1804,0.06090
70.0,250.0,15.2254,0.06090
70.0,300.0,18.2705,0.06090
70.0,350.0,21.3156,0.06090
70.0,400.0,24.3607,0.06090
70.0,450.0,27.4058,0.06090
70.0,500.0,30.4509,0.06090
70.0,550.0,33.4960,0.06090
70.0,600.0,36.5411,0.06090
70.0,650.0,39.5862,0.06090
70.0,700.0,42.6313,0.06090
70.0,750.0,45.6763,0.06090
70.0,800.0,48.7214,0.06090
70.0,850.0,51.7665,0.06090
70.0,900.0,54.8116,0.06090
70.0,950.0,57.8567,0.06090
70.0,1000.0,60.9018,0.06090
70.0,1050.0,63.9469,0.06090
70.0,1100.0,66.9920,0.06090
70.0,1150.0,70.0371,0.06090
70.0,1200.0,73.0822,0.06090
70.0,1250.0,76.1272,0.06090
70.0,1300.0,79.1723,0.06090
70.0,1350.0,82.2174,0.06090
70.0,1400.0,85.2625,0.06090
70.0,1450.0,88.3076,0.06090
70.0,1500.0,91.3527,0.06090
72.5,200.0,11.8144,0.05907
72.5,250.0,14.7680,0.05907
72.5,300.0,17.7216,0.05907
72.5,350.0,20.6752,0.05907
72.5,400.0,23.6289,0.05907
72.5,450.0,26.5825,0.05907
72.5,500.0,29.5361,0.05907
